case,abc,ric3_baseline,ric3_dynamic,ric3_adaptive,ric3_reverse_topo,ric3_reverse_topo_inn,ric3_flip_high,ric3_dynamic_reverse_topo,ric3_multi_mic,ric3_mab,baseline_speedup,dynamic_speedup,dynamic_vs_baseline_ratio,adaptive_vs_baseline_ratio,adaptive_vs_dynamic_ratio,reverse_vs_baseline_ratio,reverse_topo_inn_vs_baseline_ratio,reverse_vs_dynamic_ratio,reverse_topo_inn_vs_dynamic_ratio,flip_vs_baseline_ratio,dynamic_reverse_topo_vs_baseline_ratio,dynamic_reverse_topo_vs_dynamic_ratio,mab_vs_dynamic_ratio
eq_sdp_v4,3600.0,1513.74,2050.94,2668.47,1317.64,689.84,1014.59,1008.11,1682.85,1150.17,0.4204833333333333,0.5697055555555556,0.7380713233931758,0.5672688844169131,0.768582745918073,1.1488266901429829,2.194334918241911,1.5565253028141222,2.973066218253508,1.4919721266718575,1.5015623295076925,2.034440686036246,1.7831624890233617
pdtvisvsar29,3600.0,14.72,14.72,15.01,13.69,3600.0,14.88,13.71,27.35,21.16,0.004088888888888889,0.004088888888888889,1.0,0.9806795469686876,0.9806795469686876,1.075237399561724,0.004088888888888889,1.075237399561724,0.004088888888888889,0.989247311827957,1.073668854850474,1.073668854850474,0.6956521739130435
pdtvisns3p10,0.01,0.01,0.01,0.03,0.01,0.0,0.01,0.01,0.01,0.01,1.0,1.0,1.0,0.33333333333333337,0.33333333333333337,1.0,inf,1.0,inf,1.0,1.0,1.0,1.0
oski15a01b39s,3600.0,1352.37,1263.21,1326.35,1358.0,3600.0,1570.14,1293.31,2193.81,725.97,0.3756583333333333,0.35089166666666666,1.0705820884888497,1.0196177479549138,0.9523956723338486,0.9958541973490427,0.3756583333333333,0.93019882179676,0.35089166666666666,0.8613053613053612,1.0456657723206346,0.976726384238891,1.7400305797760238
6s54,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,0.14,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
yosyshq_appnote_123_cv32e40x-p760,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
digits_bad_for,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,3600.0,2.8,3600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pdtvisvsar06,0.0,0.01,0.02,0.03,0.01,0.04,0.01,0.01,0.03,0.02,inf,inf,0.5,0.33333333333333337,0.6666666666666667,1.0,0.25,2.0,0.5,1.0,1.0,2.0,1.0
cal125,0.09,6.31,6.32,6.96,6.58,5.1,8.49,6.24,2.0,5.48,70.11111111111111,70.22222222222223,0.9984177215189872,0.9066091954022988,0.9080459770114943,0.958966565349544,1.2372549019607844,0.9604863221884499,1.2392156862745098,0.7432273262661955,1.0112179487179487,1.0128205128205128,1.1532846715328466
pdtvisblackjack4,0.01,0.11,0.14,0.15,0.13,0.08,0.07,0.09,0.23,0.03,11.0,14.000000000000002,0.7857142857142857,0.7333333333333334,0.9333333333333335,0.8461538461538461,1.375,1.076923076923077,1.7500000000000002,1.5714285714285714,1.2222222222222223,1.5555555555555558,4.666666666666667
